Well,DEPTH,DT,DEN,NEU,PHIE,GR,Facies,Core_Perm,Core_POR,Zone
42/13a-A5Z,11800,69.59999847,2.570800066,0.183500007,0.061000001,74.64849854,-999.25,-999.25,-999.25,2
42/13a-A5Z,11800.5,69.59999847,2.569999933,0.192300007,0.0517,84.05819702,-999.25,-999.25,-999.25,2
42/13a-A5Z,11801,69.59999847,2.577899933,0.198500007,0.033300001,97.04319763,-999.25,-999.25,-999.25,2
42/13a-A5Z,11801.5,69.59999847,2.593800068,0.205799997,0.022,107.7188034,-999.25,-999.25,-999.25,2
42/13a-A5Z,11802,69.59999847,2.590399981,0.225099996,0.0112,114.2349014,-999.25,-999.25,-999.25,2
42/13a-A5Z,11802.5,69.59999847,2.582799912,0.253300011,0.0089,116.0864029,-999.25,-999.25,-999.25,2
42/13a-A5Z,11803,69.59999847,2.57949996,0.272399992,0.0077,117.2450028,-999.25,-999.25,-999.25,2
42/13a-A5Z,11803.5,69.59999847,2.595700026,0.274500012,0.0072,117.8171005,-999.25,-999.25,-999.25,2
42/13a-A5Z,11804,69.59999847,2.622600079,0.264499992,0.0058,119.4520035,-999.25,-999.25,-999.25,2
42/13a-A5Z,11804.5,69.59999847,2.639800072,0.259999991,0.0054,120.0579987,-999.25,-999.25,-999.25,2
42/13a-A5Z,11805,69.59999847,2.622400045,0.256300002,0.0078,117.1825028,-999.25,-999.25,-999.25,2
